SMILES,Tg,Tm
*c1cccc(N2C(=O)c3ccc(Oc4ccc5cc(Oc6ccc7c(c6)C(=O)N(*)C7=O)ccc5c4)cc3C2=O)c1,230.0,340.0
*Oc1ccc(NC(=O)c2ccc(Oc3ccc(C(=O)Nc4ccc(*)cc4)cc3)cc2)cc1,274.0,468.0
*Oc1ccc(Oc2ccc(NC(=O)c3ccc(Oc4ccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)cc4)cc3)cc2)cc1,236.0,423.0
*Oc1cccc(Oc2ccc(NC(=O)c3ccc(Oc4cccc(Oc5ccc(C(=O)Nc6ccc(*)cc6)cc5)c4)cc3)cc2)c1,176.5,295.0
*c1cccc(Oc2ccc(-c3ccc(Oc4cccc(-n5c(=O)c6cc7c(=O)n(*)c(=O)c7cc6c5=O)c4)cc3)cc2)c1,251.0,382.9
*CCCCCCOC(=O)Nc1ccc(C)c(NC(=O)OCCCCCCOc2ccc(-c3ccc(O*)cc3)cc2)c1,87.0,157.0
*CCc1ccc(*)o1,25.5,119.0
*OC(=O)c1cccc(C(=O)Oc2ccc3c(c2)Oc2cc(*)ccc2C32OC(=O)c3ccccc32)c1,276.0,335.0
*SC(*)(F)F,-118.0,35.0
*CCS*,-1.5,210.0
*CCSS*,-27.0,128.0
*CC(C)S*,-43.0,53.0
*CCCS*,-53.5,61.0
*CC(C)(C)CS*,-49.3,12.0
*CC(C)(C)S*,-14.0,187.0
*CCCCCSS*,-72.0,44.0
*CCCCCCCCCCSS*,-65.0,60.0
*CCCCCCCCCCSSS*,-70.0,30.0
*CCC(=O)NCCCCCCNC(=O)CCS*,27.0,216.0
*SC1CCCCC1*,-43.0,117.5
*SC1CCCC(*)C1,-52.0,139.0
*Sc1ccc(*)cc1,90.0,256.0
*Cc1ccc(CSS*)cc1,23.0,182.5
*Cc1ccc(CSSSS*)cc1,3.0,96.0
*CCCCC(=O)NCc1ccc(CNC(=O)CCCCS*)cc1,70.0,242.0
*CCCCCCC(=O)NCc1ccc(CNC(=O)CCCCCCS*)cc1,65.0,228.0
*CCCCCCCCCCC(=O)NCCc1ccc(CCNC(=O)CCCCCCCCCCS*)cc1,58.0,207.0
*Oc1ccc(Sc2ccc(OC(*)=O)cc2)cc1,110.0,240.0
